id,street_name,city,country
1,123 Maple St,Springfield,USA
2,456 Oak Ave,Austin,USA
3,789 Pine Rd,Denver,USA
4,321 Cedar Blvd,Seattle,USA
5,654 Birch Ln,Portland,USA
6,987 Elm St,Chicago,USA
7,246 Walnut Dr,Miami,USA
8,135 Spruce Ct,Boston,USA
9,864 Ash Way,Phoenix,USA
10,753 Willow Pl,San Diego,USA
11,159 Chestnut Ave,Atlanta,USA
12,357 Poplar St,Nashville,USA
13,951 Sycamore Rd,Dallas,USA
14,258 Magnolia Dr,Orlando,USA
15,369 Dogwood Ln,Charlotte,USA
16,741 Redwood Ct,Sacramento,USA
17,852 Fir St,Minneapolis,USA
18,963 Hickory Ave,Columbus,USA
19,147 Juniper Blvd,Raleigh,USA
20,258 Laurel Dr,Las Vegas,USA
